x,y,d,t
0.462886,-0.172460,3.455000,125.936670
0.447209,-0.123640,3.630000,125.953181
0.447209,-0.123640,3.565000,125.969639
0.466171,-0.142640,3.635000,125.986227
0.459568,-0.115650,3.670000,126.002838
0.460023,-0.087690,3.610000,126.019269
0.469304,-0.016240,3.790000,126.035875
0.466008,-0.062630,3.655000,126.051630
0.466008,-0.062630,3.585000,126.068279
0.478557,-0.077560,3.620000,126.084718
0.464816,-0.161930,3.870000,126.100966
0.464422,-0.191040,3.775000,126.117728
0.464337,-0.238940,3.775000,126.134108
0.453661,-0.188290,3.895000,126.150518
0.454196,-0.159220,3.935000,126.167185
0.481533,-0.167710,3.775000,126.183280
0.487642,-0.066950,4.050000,126.199973
0.487743,-0.038410,3.945000,126.216339
0.472078,-0.039810,3.950000,126.232832
0.478664,-0.100400,3.910000,126.249172
0.478439,-0.129880,3.700000,126.265657
0.459618,-0.166740,3.755000,126.282054
0.473354,-0.168440,3.965000,126.298518
0.473360,-0.143620,3.665000,126.314988
0.490803,-0.052090,3.680000,126.331173
0.495376,-0.046670,3.660000,126.347879
0.495663,-0.018340,3.640000,126.364006
0.275315,0.534620,3.050000,126.380644
0.120296,0.910790,3.295000,126.396848
0.107915,0.877380,3.310000,126.413136
0.091636,0.896230,3.040000,126.429466
0.126089,1.027420,3.060000,126.446159
0.134026,1.046660,3.220000,126.462669
0.120791,1.082460,3.095000,126.478949
0.114738,1.030480,3.215000,126.495445
0.109344,1.017800,3.080000,126.512071
0.066363,0.968850,3.095000,126.528477
0.050810,0.867340,3.325000,126.544987
0.044718,0.852680,3.225000,126.561358
0.056294,0.989230,3.210000,126.577705
0.090697,1.006510,3.190000,126.594213
0.090697,1.006510,3.235000,126.610430
0.095084,1.149380,3.255000,126.627150
0.047508,1.000700,3.255000,126.643165
0.050259,1.006110,3.160000,126.659945
0.072489,1.004230,3.055000,126.676069
0.091591,1.119240,3.135000,126.692743
0.097166,1.130200,3.230000,126.709126
0.130449,1.134250,3.085000,126.725640
0.097003,1.018330,3.125000,126.741919
0.099989,1.025410,3.070000,126.758548
0.113821,0.994030,3.175000,126.774838
0.109923,1.044700,3.100000,126.791059
0.110052,1.044990,3.095000,126.807616
0.090191,0.942060,2.965000,126.823950
0.106317,1.001650,3.140000,126.840474
0.106317,1.001650,2.945000,126.856789
0.149534,0.976990,2.905000,126.873300
0.126230,0.906560,2.940000,126.889829
0.123069,0.898740,3.040000,126.906193
0.112123,0.951790,2.910000,126.922511
0.170246,0.916360,2.890000,126.938913
0.168125,0.910090,2.960000,126.955333
0.145760,0.921030,2.830000,126.971678
0.140236,0.930200,2.845000,126.988102
0.140354,0.930510,2.785000,127.004464
0.136507,0.993440,2.790000,127.020983
0.138914,0.997180,2.810000,127.037348
0.143971,1.010320,2.880000,127.053858
0.124222,0.989550,2.850000,127.070239
0.073901,1.064380,2.780000,127.086780
0.070734,1.057510,2.765000,127.103160
0.091445,1.087290,2.780000,127.119623
0.081702,1.009490,2.830000,127.136164
0.081567,1.009200,2.795000,127.152807
0.140883,0.858070,2.750000,127.169305
0.127884,0.895840,2.775000,127.185772
0.125651,0.888610,2.660000,127.201739
0.138999,0.939620,2.765000,127.218625
0.099663,0.877780,2.710000,127.234613
0.102206,0.884420,2.710000,127.251450
0.160734,0.925830,2.745000,127.267733
0.159772,0.948700,2.745000,127.283992
0.169520,0.977070,2.815000,127.300438
0.228403,1.148140,2.690000,127.317153
0.135916,0.922240,2.860000,127.333409
0.140298,0.934540,2.610000,127.349912
0.218188,1.178230,2.665000,127.366268
0.166078,1.110090,2.770000,127.382765
0.163709,1.104250,2.975000,127.398911
0.205689,1.113130,2.735000,127.415461
0.141845,1.012450,2.890000,127.431995
0.135011,0.994350,2.680000,127.448499
0.140861,0.981450,2.680000,127.464893
0.134386,1.069510,2.705000,127.481366
0.136934,1.075740,2.685000,127.497830
0.176090,1.093250,2.820000,127.514058
0.181659,1.073030,2.745000,127.530664
0.174504,1.053970,2.710000,127.546950
0.168372,0.958720,2.540000,127.563438
0.147554,1.016410,2.580000,127.579692
0.149703,1.022490,2.755000,127.596326
0.185000,1.023410,2.755000,127.612644
0.126297,0.951840,2.710000,127.628857
0.131067,0.964660,2.645000,127.645627
0.154569,0.933070,2.665000,127.661894
0.171455,0.983730,3.005000,127.891565
0.523198,0.791020,2.610000,128.483377
0.876290,0.761480,2.735000,128.549141
0.889109,0.746390,2.600000,128.565329
0.886207,0.756370,2.635000,128.582025
0.881279,0.755800,2.840000,128.598289
0.855899,0.797450,2.760000,128.615031
0.858380,0.788130,2.575000,128.631150
0.873742,0.737130,2.785000,128.647763
0.863988,0.776230,2.690000,128.664074
0.866469,0.767000,2.765000,128.680658
0.888918,0.695590,2.745000,128.696932
0.856816,0.759300,2.790000,128.713489
0.852586,0.776110,2.790000,128.729783
0.875902,0.833610,2.795000,128.746378
0.862486,0.792400,2.830000,128.762767
0.839154,0.854540,3.155000,128.778986
0.852946,0.908700,3.020000,128.795757
0.868544,0.847130,3.380000,128.811888
0.873359,0.833530,2.995000,128.828513
0.850764,0.906990,3.190000,128.844740
0.876560,1.108970,3.320000,128.861386
0.881116,1.099770,3.120000,128.877579
0.851079,0.952460,3.090000,128.894201
0.824816,1.078530,3.135000,128.910431
0.827352,1.073580,3.180000,128.927057
0.864241,0.966700,3.080000,128.943382
0.832606,1.092050,3.135000,128.959901
0.839182,1.075060,3.065000,128.976267
0.927387,0.876830,3.170000,128.992850
0.878652,0.994210,3.240000,129.009113
0.876352,1.001450,3.115000,129.025408
0.877927,0.937660,3.160000,129.042026
0.836291,1.111690,3.205000,129.058249
0.840959,1.101140,3.245000,129.074954
0.917465,0.902440,3.075000,129.091123
0.882927,0.971280,3.105000,129.107924
0.872206,0.993840,3.215000,129.123868
0.911891,1.172330,3.155000,129.140597
0.871138,1.240550,3.065000,129.156987
0.857649,1.264100,3.210000,129.173497
0.865079,1.200410,3.240000,129.189652
0.907301,1.158320,3.155000,129.206183
0.912369,1.149440,3.145000,129.222657
0.906007,1.227020,3.120000,129.238836
0.893677,1.223040,3.090000,129.255254
0.893677,1.223040,3.055000,129.271664
0.895494,1.151880,3.090000,129.287916
0.925683,1.154200,3.225000,129.304494
0.925683,1.154200,3.135000,129.320812
0.902846,1.102380,3.115000,129.337230
0.875373,1.173420,3.180000,129.353862
0.884142,1.158240,3.150000,129.370266
0.876200,1.200530,3.135000,129.386892
0.938913,1.064390,3.220000,129.403257
0.941697,1.058030,3.205000,129.419865
0.952649,1.009960,3.250000,129.436183
0.926774,0.996890,2.985000,129.452768
0.923540,1.004600,3.110000,129.469186
0.943666,1.028660,3.235000,129.485590
0.955782,1.026930,3.055000,129.502084
0.965306,1.007910,3.145000,129.518113
0.954196,0.950420,3.050000,129.535061
0.925897,1.013840,3.065000,129.551092
0.923197,1.021250,3.095000,129.567738
0.904854,0.984440,3.160000,129.583942
0.937805,0.923180,3.310000,129.600540
0.943813,0.910130,3.260000,129.616493
0.971594,0.948290,3.220000,129.633481
0.929907,0.997500,3.310000,129.649758
0.920924,1.014520,3.250000,129.666364
0.934064,1.004040,3.195000,129.682704
0.859758,1.021970,3.095000,129.699205
0.849076,1.047020,3.380000,129.715583
0.856687,0.958190,3.230000,129.732090
0.886263,0.939730,3.230000,129.748403
0.892254,0.925190,3.260000,129.764640
0.894014,0.911030,3.180000,129.781344
0.881392,0.852230,3.210000,129.797367
0.889959,0.830950,3.230000,129.814213
0.891140,1.024510,3.165000,129.830368
0.886595,1.059920,3.275000,129.846915
0.891933,1.048610,3.080000,129.863305
0.915316,1.075990,2.965000,129.879827
0.909388,1.090900,3.045000,129.896159
0.906288,1.094890,3.100000,129.912726
0.886640,1.132450,3.085000,129.929038
0.849746,1.212390,3.115000,129.945051
0.842855,1.224600,3.090000,129.961939
0.897558,1.320060,3.180000,129.978432
0.912898,1.162580,3.345000,129.994563
0.896731,1.190390,3.285000,130.011366
0.882179,1.335800,3.235000,130.027545
0.871886,1.331360,3.255000,130.044157
0.860529,1.347950,3.245000,130.060699
0.873348,1.329960,3.255000,130.076741
0.845752,1.376490,3.235000,130.093565
0.845752,1.376490,3.235000,130.109689
0.834991,1.327950,3.170000,130.126308
0.808824,1.396720,3.165000,130.142639
0.823668,1.375950,3.175000,130.159234
0.884649,1.291080,3.200000,130.175381
0.922876,1.191750,3.200000,130.191739
0.936016,1.168930,3.255000,130.208206
0.891860,1.252400,3.175000,130.224993
0.889256,1.283170,3.160000,130.241252
0.886370,1.288570,3.135000,130.257751
0.926375,1.266770,3.150000,130.273796
0.949505,1.233150,3.210000,130.290516
0.944842,1.238330,3.270000,130.306908
0.911182,1.258070,3.235000,130.323012
0.875660,1.284560,3.285000,130.339960
0.861468,1.308980,3.060000,130.355907
0.792382,1.319890,2.990000,130.372224
0.808891,1.299870,2.980000,130.388683
0.821863,1.275950,3.120000,130.405131
0.837905,1.241220,2.975000,130.421588
0.835166,1.236880,3.015000,130.437955
0.833624,1.241030,2.980000,130.454479
0.822352,1.255660,2.945000,130.470817
0.713075,0.903820,3.015000,130.635207
