x,y,d,t
0.514349,-0.259980,4.245000,133.591632
0.507644,-0.281870,4.240000,133.607725
0.480166,-0.329010,4.145000,133.624137
0.481173,-0.313460,4.210000,133.640537
0.512606,-0.271940,4.135000,133.657401
0.510058,-0.305480,4.360000,133.673603
0.510058,-0.307510,4.400000,133.690206
0.516937,-0.310050,4.145000,133.706555
0.507937,-0.228690,4.155000,133.723186
0.507853,-0.255130,4.170000,133.739276
0.503088,-0.240680,4.235000,133.755987
0.508916,-0.271030,4.305000,133.772295
0.508842,-0.297080,4.275000,133.788423
0.507982,-0.285070,4.270000,133.805163
0.508685,-0.344070,4.285000,133.821116
0.508685,-0.344070,4.295000,133.837965
0.502340,-0.340220,4.245000,133.854263
0.490871,-0.377520,4.250000,133.870888
0.491124,-0.350570,4.240000,133.887441
0.493863,-0.273520,4.295000,133.903738
0.496901,-0.239250,4.250000,133.920361
0.496901,-0.239250,4.200000,133.936856
0.506469,-0.284070,4.115000,133.953096
0.499280,-0.266060,4.180000,133.969579
0.498892,-0.323840,4.175000,133.985850
0.499207,-0.407030,4.215000,134.002353
0.503150,-0.428300,4.220000,134.018881
0.503150,-0.428300,4.200000,134.034915
0.655452,-0.122550,4.175000,134.051506
0.779056,0.344700,4.405000,134.067736
0.773054,0.385690,4.240000,134.084168
0.741408,0.381940,4.400000,134.100598
0.760612,0.411780,4.260000,134.117057
0.755752,0.445900,4.230000,134.133459
0.734636,0.466650,4.185000,134.149844
0.720022,0.582860,4.235000,134.166304
0.720331,0.574800,4.265000,134.182853
0.732138,0.583550,4.265000,134.199158
0.785148,0.560890,4.390000,134.215821
0.786909,0.556210,4.345000,134.232333
0.883057,0.876580,4.365000,134.248353
0.858166,0.787150,4.325000,134.264840
0.858453,0.786080,4.330000,134.281695
0.867453,0.778710,4.315000,134.297672
0.893289,0.843910,4.350000,134.314513
0.897491,0.830110,4.310000,134.330891
0.880993,0.782090,4.275000,134.347478
0.881279,0.721040,4.290000,134.363714
0.881279,0.721040,4.260000,134.380311
0.875008,0.755380,4.260000,134.396633
0.888159,0.805600,4.230000,134.413226
0.884069,0.819690,4.235000,134.429525
0.878585,0.804520,4.245000,134.446011
0.857469,1.002340,4.200000,134.462426
0.858273,0.996270,4.185000,134.478409
0.848030,0.958150,4.175000,134.495269
0.863600,0.931770,4.225000,134.511312
0.866255,0.926140,4.230000,134.528031
0.878394,0.979290,4.165000,134.544380
0.897333,0.917000,4.230000,134.561062
0.897642,0.916060,4.215000,134.577279
0.876774,0.951230,4.180000,134.593942
0.855101,1.001050,4.205000,134.610175
0.848351,1.019010,4.210000,134.626664
0.858048,0.965590,4.190000,134.642984
0.849431,0.958200,4.205000,134.659612
0.848182,0.965520,4.220000,134.676067
0.835081,0.951920,4.170000,134.692441
0.860236,1.068070,4.210000,134.708669
0.864461,1.055650,4.215000,134.725332
0.854639,1.000840,4.180000,134.741585
0.832949,0.983050,4.230000,134.758127
0.839874,0.962940,4.205000,134.774548
0.850466,0.925310,4.220000,134.790800
0.867481,0.829710,4.185000,134.807402
0.865782,0.831670,4.170000,134.823905
0.708564,0.078170,4.195000,134.840289
0.552875,-0.108380,4.360000,134.856474
0.550895,-0.037910,4.220000,134.873215
0.514479,-0.068370,4.240000,134.889388
0.507903,-0.082010,4.355000,134.905931
0.508589,-0.114870,4.320000,134.922181
0.497407,-0.169110,4.290000,134.938902
0.488525,-0.202900,4.210000,134.955152
0.487473,-0.216920,4.205000,134.971182
0.498763,-0.120370,4.255000,134.987686
0.505535,-0.119970,4.280000,135.004108
0.506413,-0.105990,4.240000,135.020509
0.497508,-0.135730,4.205000,135.036930
0.503932,-0.198000,4.315000,135.053404
0.503684,-0.251310,4.315000,135.069848
0.489633,-0.214430,4.270000,135.086173
0.480239,-0.227760,4.300000,135.102657
0.480239,-0.227760,4.280000,135.119078
0.517111,-0.274080,4.290000,135.135518
0.509478,-0.264040,4.280000,135.152331
0.509478,-0.264040,4.270000,135.168425
0.487608,-0.213060,4.225000,135.185027
0.484919,-0.188590,4.285000,135.201314
0.484498,-0.150980,4.295000,135.217778
0.439891,-0.164860,4.315000,135.234043
0.462712,-0.117240,4.250000,135.250580
0.463848,-0.063870,4.255000,135.267064
0.475137,-0.051780,4.280000,135.283279
0.474080,-0.062740,4.265000,135.299940
0.474282,-0.102160,4.325000,135.316366
0.463077,-0.149650,4.210000,135.332668
0.397186,-0.043000,4.430000,135.349268
0.394385,-0.080390,4.305000,135.365858
0.121139,0.803630,4.330000,135.382251
0.153095,0.848470,4.210000,135.398768
0.161156,0.877860,4.235000,135.415147
0.183504,0.827770,4.160000,135.431679
0.201909,0.900780,4.160000,135.448227
0.201909,0.900780,4.150000,135.464585
0.168052,0.848720,4.130000,135.481083
0.172552,0.791370,4.165000,135.497074
0.167709,0.768540,4.210000,135.513326
0.162275,0.705460,4.135000,135.530100
0.164874,0.740000,4.135000,135.546670
0.160869,0.723640,4.150000,135.562632
0.164469,0.732750,4.160000,135.579536
0.149759,0.765620,4.110000,135.595739
0.150789,0.772860,4.160000,135.611938
0.155182,0.815800,4.105000,135.628355
0.176197,0.780880,4.120000,135.645333
0.180101,0.796920,4.120000,135.661606
0.175651,0.794780,4.080000,135.678181
0.176967,0.842690,4.105000,135.694430
0.180680,0.857180,4.110000,135.710998
0.194276,0.797070,4.020000,135.727309
0.203141,0.849030,4.050000,135.743457
0.206679,0.863930,4.045000,135.760284
0.150474,1.012010,4.120000,135.776477
0.142497,0.930400,4.115000,135.793083
0.142497,0.930400,4.130000,135.809224
0.164598,0.981660,4.075000,135.826036
0.166899,0.942050,4.045000,135.841846
0.166899,0.942050,4.090000,135.858880
