x,y,d,t
0.621112,0.994050,4.150000,78.928887
0.622406,0.982770,4.005000,78.945330
0.618614,1.067340,3.990000,78.961742
0.597425,0.978850,4.010000,78.978574
0.597414,0.973530,4.000000,78.994809
0.594455,1.021570,4.015000,79.011152
0.598719,1.008580,4.045000,79.027599
0.597599,1.020320,3.955000,79.043848
0.587300,1.007810,3.955000,79.060184
0.598522,1.013850,4.020000,79.076738
0.598522,1.013850,3.985000,79.093191
0.545000,0.655230,3.870000,79.109530
0.517370,0.253630,3.930000,79.126086
0.517156,0.272500,4.090000,79.142505
0.492069,0.158340,4.185000,79.158912
0.486376,0.178840,4.165000,79.175648
0.486719,0.167280,4.110000,79.191610
0.510373,0.072500,4.160000,79.208488
0.514901,0.044740,4.135000,79.224925
0.514861,0.013700,4.070000,79.240874
0.492918,0.030230,4.155000,79.257800
0.516830,0.066420,4.045000,79.273934
0.516999,0.076940,4.045000,79.290705
0.587154,0.262500,4.130000,79.306958
0.745351,0.768250,4.000000,79.323572
0.748079,0.753860,3.995000,79.339828
0.865282,0.952070,3.880000,79.356458
0.872606,0.949680,3.880000,79.372711
0.868837,0.961280,3.795000,79.389169
0.855196,1.004440,3.820000,79.405649
0.880621,1.011790,3.745000,79.422152
0.876650,1.023050,3.965000,79.438480
0.863757,0.954180,3.840000,79.454666
0.870839,0.966060,3.720000,79.471407
0.868235,0.972260,3.705000,79.487578
0.847957,1.026060,3.845000,79.504078
0.859623,1.045620,4.095000,79.520825
0.861913,1.040220,3.740000,79.537213
0.843333,0.955430,3.915000,79.553212
0.741183,0.657690,3.760000,79.570153
0.746409,0.627080,2.930000,79.586312
0.451377,-0.266300,3.765000,79.602918
0.465266,-0.346690,3.745000,79.618795
0.464771,-0.361410,4.150000,79.635730
0.468286,-0.320570,3.815000,79.651984
0.439014,-0.303490,4.105000,79.668650
0.439492,-0.292130,4.240000,79.684906
0.436556,-0.228410,3.860000,79.701455
0.467487,-0.295930,4.115000,79.717725
0.467521,-0.292940,4.110000,79.733839
0.455332,-0.274160,4.180000,79.750709
0.461367,-0.317170,4.170000,79.767208
0.461334,-0.333430,4.275000,79.783588
0.446748,-0.322350,4.015000,79.799703
0.472432,-0.342220,4.000000,79.816509
0.471847,-0.342970,4.165000,79.832733
0.458341,-0.319980,4.130000,79.849444
0.451164,-0.288160,4.100000,79.865593
0.452204,-0.246250,4.150000,79.882230
0.464630,-0.205130,4.195000,79.898340
0.473034,-0.248920,4.140000,79.914978
0.472567,-0.260550,4.180000,79.931284
0.461294,-0.189370,4.160000,79.947875
