subj,exp_id,ses_id,marker,object,mag,amp,dur,timestamp
014,1,1,None,None,0.989975,30.884610,0.065808,3.466308
017,1,1,None,None,0.880562,19.858787,0.048972,3.417307
010,1,1,None,None,1.588616,40.902534,0.082008,2.267248
018,1,1,None,None,0.535900,11.636663,0.065812,3.647180
004,1,1,None,None,1.226654,38.804206,0.049289,3.877018
003,1,1,None,None,1.342396,27.027972,0.049027,0.197701
008,1,1,None,None,1.706352,47.402223,0.066037,0.246227
008,1,1,None,None,1.129179,27.700141,0.131149,2.743673
006,1,1,None,None,1.284914,34.982936,0.082028,0.148175
006,1,1,None,None,1.315261,31.083026,0.049540,3.532346
001,1,1,None,None,1.529313,31.879515,0.065728,0.903402
001,1,1,None,None,0.940473,20.159184,0.049396,1.001928
001,1,1,None,None,1.561633,30.573091,0.049156,3.400608
