subj,exp_id,ses_id,marker,object,pICA
018,1,1,None,None,0.400434
012,1,1,None,None,0.206339
015,1,1,None,None,0.600704
016,1,1,None,None,0.200241
011,1,1,None,None,0.207043
010,1,1,None,None,0.235027
017,1,1,None,None,0.602664
014,1,1,None,None,0.194478
013,1,1,None,None,0.19386
001,1,1,None,None,0.555938
006,1,1,None,None,0.419762
005,1,1,None,None,0.210643
002,1,1,None,None,0.205647
008,1,1,None,None,0.414065
009,1,1,None,None,0.206339
003,1,1,None,None,0.284401
004,1,1,None,None,0.212834
007,1,1,None,None,0.462898
