subj,exp_id,ses_id,marker,object,mag,amp,dur,timestamp
014,1,1,layout0,sacc,19.855675,518.622847,0.082219,0.361422
014,1,1,layout0,sacc,16.905679,481.702215,0.114899,1.248595
014,1,1,layout0,sacc,10.668270,179.940163,0.049216,1.396479
014,1,1,layout0,sacc,26.389774,635.469739,0.082068,1.823643
014,1,1,layout0,sacc,15.223902,296.698608,0.082188,4.665709
014,1,1,layout0,sacc,19.590195,392.617899,0.065760,4.846442
014,1,1,layout1,sacc,7.137184,156.232147,0.049246,0.262818
014,1,1,layout1,sacc,10.136361,244.594475,0.065719,0.706312
014,1,1,layout1,sacc,9.768025,195.942967,0.065629,0.903535
014,1,1,layout1,sacc,14.112862,237.957241,0.115085,1.215528
014,1,1,layout1,sacc,12.150747,269.669734,0.049426,1.741210
014,1,1,layout1,sacc,13.119952,383.303279,0.049259,2.069908
014,1,1,layout10,sacc,2.349864,50.094492,0.148032,0.049124
014,1,1,layout10,sacc,1.228794,20.849395,0.082119,0.279272
014,1,1,layout10,sacc,2.467923,58.926104,0.131489,0.492730
014,1,1,layout10,sacc,2.139078,68.575904,0.164303,1.199198
014,1,1,layout10,sacc,1.716202,47.832852,0.164345,1.478416
014,1,1,layout10,sacc,2.339071,65.447631,0.065697,1.856344
014,1,1,layout10,sacc,2.092061,41.272750,0.049218,1.954945
014,1,1,layout10,sacc,4.692119,159.379333,0.164269,2.464266
014,1,1,layout10,sacc,8.042576,244.824978,0.049286,2.710627
014,1,1,layout10,sacc,14.323883,92.880663,0.295761,2.776332
014,1,1,layout10,sacc,2.563297,65.920829,0.098619,4.123474
014,1,1,layout10,sacc,2.062431,64.845047,0.147862,4.238471
014,1,1,layout10,sacc,1.499438,27.677132,0.049246,4.402859
014,1,1,layout10,sacc,3.136778,39.223505,0.131545,4.484870
014,1,1,layout10,sacc,1.469442,45.437565,0.065819,4.632847
014,1,1,layout10,sacc,2.573282,100.798879,0.114868,4.714867
014,1,1,layout10,sacc,3.414673,21.206101,0.295651,4.846290
013,1,1,layout9,sacc,20.266637,487.827144,0.098565,0.837745
013,1,1,layout9,sacc,12.784834,299.444263,0.065738,1.281367
013,1,1,layout9,sacc,12.669409,380.874307,0.065699,1.429166
013,1,1,layout9,sacc,4.858045,117.785663,0.049249,1.757834
013,1,1,layout9,sacc,11.243390,227.924042,0.098560,2.365663
013,1,1,layout9,sacc,9.037798,268.175275,0.065727,3.433486
013,1,1,layout8,sacc,11.633182,319.658977,0.098420,0.312286
013,1,1,layout8,sacc,11.449618,288.509000,0.098626,0.459971
013,1,1,layout8,sacc,25.603107,595.644530,0.082258,0.870618
013,1,1,layout8,sacc,21.551678,504.600451,0.065669,1.182899
013,1,1,layout8,sacc,17.656623,409.343057,0.098679,1.593491
013,1,1,layout8,sacc,9.917137,191.122313,0.082110,1.741419
013,1,1,layout8,sacc,8.057441,180.616413,0.065764,1.922001
013,1,1,layout8,sacc,22.982741,168.944099,0.197140,2.382134
002,1,1,layout7,sacc,17.438815,200.368619,0.246930,0.443659
002,1,1,layout7,sacc,19.143069,335.078402,0.065895,3.105032
016,1,1,layout9,sacc,8.969730,201.469496,0.049385,0.180731
016,1,1,layout9,sacc,20.335051,488.935696,0.082027,0.361668
016,1,1,layout9,sacc,24.357358,616.424887,0.098408,0.772433
016,1,1,layout9,sacc,19.266763,451.816745,0.081759,1.790886
016,1,1,layout9,sacc,24.169901,513.746417,0.098525,2.053696
016,1,1,layout9,sacc,22.726243,522.340193,0.065570,2.628717
016,1,1,layout9,sacc,19.766857,523.097564,0.098326,3.877171
016,1,1,layout9,sacc,16.010813,324.196447,0.065881,4.583146
016,1,1,layout9,sacc,13.415272,300.382437,0.065802,4.846542
011,1,1,layout1,sacc,18.853195,426.825625,0.081472,0.542847
011,1,1,layout1,sacc,12.816608,232.171010,0.082450,1.298246
011,1,1,layout1,sacc,18.441426,392.852484,0.082087,1.577266
011,1,1,layout0,sacc,17.356035,425.576419,0.114920,0.394887
011,1,1,layout0,sacc,2.529676,70.797549,0.049384,0.608326
011,1,1,layout0,sacc,2.060988,55.720964,0.049475,0.673535
011,1,1,layout0,sacc,19.933450,433.249345,0.377173,0.805696
011,1,1,layout0,sacc,11.640026,351.645440,0.115531,1.330789
011,1,1,layout0,sacc,7.599798,230.358023,0.115237,1.478952
011,1,1,layout0,sacc,15.904097,456.271967,0.131331,1.987933
011,1,1,layout0,sacc,3.420688,84.118408,0.098618,2.217894
011,1,1,layout0,sacc,18.666273,505.787191,0.114794,2.333144
007,1,1,layout7,sacc,19.867912,187.471674,0.279599,0.476403
007,1,1,layout7,sacc,2.675540,64.735412,0.065515,1.084666
007,1,1,layout7,sacc,2.163587,46.886388,0.049148,1.199692
007,1,1,layout7,sacc,24.330967,324.556649,0.246316,1.265490
007,1,1,layout7,sacc,8.175477,319.469880,0.148087,1.675867
007,1,1,layout7,sacc,7.191394,232.770573,0.115256,1.873105
007,1,1,layout7,sacc,2.859035,53.232150,0.081800,2.004709
007,1,1,layout7,sacc,22.617699,178.989328,0.262747,2.168972
007,1,1,layout7,sacc,1.388758,32.859834,0.049544,3.565185
005,1,1,layout5,sacc,16.534018,369.055090,0.098557,0.295351
005,1,1,layout5,sacc,19.372441,413.221024,0.082090,0.492491
005,1,1,layout5,sacc,25.740002,677.049228,0.065746,0.673183
005,1,1,layout5,sacc,24.377812,450.266865,0.065689,0.985385
005,1,1,layout5,sacc,22.621231,558.885729,0.065611,1.478283
005,1,1,layout5,sacc,22.103284,500.274117,0.065786,3.383886
005,1,1,layout5,sacc,23.416156,564.707109,0.065823,3.630262
